Nombre,Descripcón,Link,Testing y aseguramiento de la calidad,Desarrollo para IoT (Internet de las cosas),Ciberseguridad,Machine learning,Desarollo back end,Desarrollo front end,Edición de video y animación,Diseño UI,Diseño UX,Edición fotografica,Expresión oral / Pitch,Ingles
"Al soko : oiga, Mire, Vea!","Siendo la identidad cultural un elemento clave para la industria cultural de Cali, se debe entender de dónde surge dicha identidad que acompaña a la ciudad de Cali, para esto se abordan los imaginarios culturales que poseen los ciudadanos respecto a la cultura de la ciudad. “Por imaginario cultural entiendo el reducto trascendental y transhistórico en el que se va depositando el conjunto de vivencias y experiencias del quehacer humano a lo largo de su historia, el saber cultural de la especie, en de_nitiva(...)” (Celso Sánchez, 2009). A raíz de esto se hace evidente la importancia de los imaginarios, no sólo forman parte de la identidad cultural, sino que también crea un saber en torno a ciertas prácticas sociales, como sucede con la cultura de la salsa que acompaña la ciudad de Cali.",https://repository.icesi.edu.co/biblioteca_digital/handle/10906/83755,8,1,1,1,6,8,9,8,9,8,7,7
"Diseño para la búsqueda de vivienda, un cambio de perspectiva sobre el alquiler para las nuevas generaciones.","Purpose - Street sexual harassment is a daily and invisible cultural practice that directly affects women, and their relationship with how they live in the city. The purpose of this project is to help facilitate the process of collecting quantitative information relevant to the eradication of the underreporting of data that is currently presented in the city on this issue. In order to contribute to denaturalize this practice and implement successful measurement processes for the formulation of public policies. Design/methodology/approach - A questionnaire form was designed in conjunction with the undersecretary of gender equity in the city where the relevant variables to be measured were defined. Then, their appearance was formally validated, which is intended to attract the attention of women passersby on the street, this with three different prototypes until the expected result is obtained, this is how “La Centinela del Acoso” is proposed. Tests were carried out with “La Centinela del Acoso” in semi-public and public spaces, on different days to validate interactions with women and the data collected from them. Findings - It was found that women are really interested in the subject, since they responded to a greater extent to the proposals made with a higher rate of acceptance and willingness to participate. On the other hand, “La Centinela del Acoso” is considered as a viable and feasible alternative for the parent company as a means of obtaining quantitative information from a primary source.",https://repository.icesi.edu.co/biblioteca_digital/handle/10906/87341,8,1,1,6,8,9,7,8,10,1,8,8
E-learning como herramienta de apoyo al desarrollo de ideas de empresa.,La creación de empresas es un proceso que requiere de una decisión muy importante para ser llevada a cabo. En Colombia se observa que la población está dispuesta a toar riesgos en la búsqueda de nuevas oportunidades laborales y creación de negocios. Pero al mismo tiempo se observa que estos nuevos emprendimientos no se mantienen en el tiempo debido a vacíos en los desarrollos de los modelos de negocios y los diseños de propuestas de valor. El Centro de Desarrollo del Espíritu Empresarial de la Universidad Icesi es consciente de esta problemática que no solo afecta a las nuevas empresas sino incluso a las personas que buscan guías en el desarrollo de nuevas empresas a través de convocatorias nacionales. Se pretende llegar a una propuesta que permita enfrentar estos vacíos conceptuales para que los nuevos emprendedores estén preparados y puedan recibir las asesorías que necesitan.,https://repository.icesi.edu.co/biblioteca_digital/handle/10906/81052,10,1,1,10,8,7,3,6,10,1,8,8
Guiida : experiencia de narración colaborativa de historias para niños de 5 a 7 años y sus padres dentro del hogar.,"El propósito de este proyecto es abordar la problemática del cambio de interés entre aprendizaje a través de narrativa al uso de dispositivos móviles como entretenimiento en niños de 5 a 7 años, centrado en el hogar. Esto se hará con el fin de brindarle a los niños y a sus padres una herramienta con la cual puedan desarrollar habilidades semánticas, cognitivas y motrices por medio de la ejecución y desarrollo de narrativas dinámicas a través del uso controlado de dispositivos y didácticas digitales y físicas para finalmente generar interacciones familiares basadas en el storytelling. Todo esto será, a través de una solución físico-digital que guiará el desarrollo de la historia, la interpretará y prestará insumos, para así ayudar en la representación final de la narrativa.",https://repository.icesi.edu.co/biblioteca_digital/handle/10906/83748,8,7,1,7,8,9,9,9,10,9,9,9
DARR : una experiencia social interactiva diseñada para potenciar los mercados de segunda mano,"	Se propuso un ecosistema de puntos de donación, integrado a través de una plataforma de interacción digital para lograr potenciar el mercado de segunda mano, mediante una estrategia que integra a donantes, compradores y mercados de segunda mano, mejorando la experiencia de los miembros involucrados. Ampliando el alcance, motivando a la donación y generando mayores ingresos y materias primas a estos mercados.",https://repository.icesi.edu.co/biblioteca_digital/handle/10906/87271,9,1,7,6,8,8,1,9,9,1,8,9
"ROWLOT knowledge is the goal
","Los paradigmas de la educación han ido cambiando junto a la evolución de la sociedad, pues actualmente los jóvenes universitarios no aprenden de la misma manera que lo hacían los jóvenes de hace 40 años pues los cambios que se han dado desde aquel tiempo no han sido significativos para generar un compromiso y motivación deseado en los estudiantes contemporáneos hacia el aprendizaje. Es aquí, donde herramientas como la gamificación, a través de técnicas y didácticas del diseño de juegos busca motivar a las personas a que realicen o se comprometan con una labor, acción u objeto. Presentando posibles aportes a diferentes áreas del conocimiento, llevando a cabo un mejor ambiente de aprendizaje en cursos como “Interacción Hombre Computador” de la Universidad Icesi.",https://repository.icesi.edu.co/biblioteca_digital/handle/10906/83061,8,1,2,7,8,8,1,9,8,1,8,9
Tu peludo,"La alta presencia de mascotas en los jóvenes adultos y en familias colombianas ha despertado el interés en esta propuesta. Estudios realizados en el país por parte de la Federación Nacional de Comerciantes (Fenalco), comunican que en Colombia, seis de cada diez familias cuenta con una mascota. Aunado a esto, cabe resaltar que el mercado de mascotas tuvo un aumento del 15% en sus ventas para finales del 2015, según la Superintendencia de Industria y Comercio, lo cual evidencia una oportunidad en el mercado de las mascotas. Esta investigación pretende crear y ofrecer una nueva alternativa de adquirir servicios para las mascotas en pro de su bienestar, y hacer más fácil la vida de los propietarios y de sus animales domésticos, brindándoles servicios personalizados, implementando plataformas digitales.",https://repository.icesi.edu.co/biblioteca_digital/handle/10906/83056,8,1,5,2,8,8,5,7,9,1,8,7
"Guía para integrar cuatro áreas claves del modelo CMM mejorar los procesos de desarrollo de software
","La presente guía pretende presentar a los desarrolladores tanto de pequeñas como de medianas empresas las herramientas existentes para la integración de cuatro áreas claves pertenecientes a los niveles del proceso de madurez: Requirements Management, Software Quality Assurance y Software Configuration Management del nivel Repetible (2), y Organization Process Focus del nivel Definido (3). La idea es que sirva como un manual de referencia ""amigable"" donde puedan encontrar tanto la parte teórica como la parte práctica, entendiéndose ésta última como la explicación de cómo se implementan cada una de las herramientas para mejorar sus procesos y ubicarse en un buen nivel dentro del modelo CMM junto con las cualidades que deberían tener en caso de que decidan desarrollar una para uso de la empresa y para comercializar. Hay que recordar que el modelo CMM describe los principios y practicas para mejorar los procesos de software, y es su objetivo ayudar a las organizaciones desarrolladoras de software a mejorar sus procesos a través de una forma evolucionada que parte desde identificar procesos confusos hasta convertirlos en procesos disciplinados. Ha definido cinco niveles de madurez, cada uno de ellos con diferentes actividades y objetivos que permitirán ubicar a las empresas desarrolladoras de software en uno de ellos de acuerdo a la ejecución y cumplimiento de las prácticas que los conforman.",https://repository.icesi.edu.co/biblioteca_digital/handle/10906/5510,7,1,7,6,8,7,1,1,7,1,8,6
Friender,"Existen personas a las cuales les cuesta establecer relaciones interpersonales más que a otras, y esta habilidad se hace necesaria para el desarrollo óptimo de la vida cotidiana de las personas. Las redes sociales facilitan el desarrollo de este tipo de relaciones, sin embargo son mediadores que no posibilitan más que conectar conocidos o desconocidos sin mayor interacción. El objetivo principal del desarrollo de este proyecto es lograr constituir un sistema mediador que haga posible que dichas personas con dificultades sociales construyan lazos sociales con otras personas con intereses y gustos en común a través de diversas actividades sociales de carácter presencial. Apostándole a un convenio con algunas locaciones importantes como lo son los establecimientos públicos. De esta manera tanto establecimientos, la aplicación y los usuarios de esta hacen parte de un sistema donde todos adquieren aquello que quieren.",https://repository.icesi.edu.co/biblioteca_digital/handle/10906/77323,8,1,7,9,8,8,5,8,9,2,8,8
Diseño e implementación de una aplicación web para el acompañamiento preventivo de la educación de salud sexual utilizando técnicas de Deep Learning," El presente proyecto tiene como propósito el uso de técnicas de NLP para el desarrollo de un chatbot que sea capaz de dar efectivas respuestas hacia las preguntas que tengan los usuarios de este sobre el uso de anticonceptivos orales, así como también brindar información sobre estos mismos anticonceptivos. Este proyecto va dirigido específicamente a personas de entre 15 a 25 años de la ciudad de Barranquilla",https://manglar.uninorte.edu.co/handle/10584/11209,5,1,1,7,9,8,1,8,8,1,8,9
Viabilidad identificación de estados fenológicos en la rosa aplicando algoritmos de reconocimiento de imágenes," En este proyecto se comprueba la viabilidad de identificación y clasificación de estados fenológicos en la rosa, utilizando algoritmos de reconocimiento de imágenes. Se utilizaron redes neuronales convolucionales para la identificación y clasificación de objetos de interés y se comparó con técnicas de contraste de color. Por último, se realizaron mejoras a la precisión del modelo, utilizando clasificación binaria entre los estados fenológicos con menor probabilidad",https://repository.eafit.edu.co/handle/10784/14935,5,0,3,7,8,6,1,4,4,1,8,8
"Metodología para el diseño, desarrollo e implementación de un servicio de TIC","En este trabajo se presenta la metodología propuesta para el diseño, desarrollo e implementación de servicios de TIC, aplicado para nuevos servicios o ajustes de los servicios actuales implementados en el área de Canales de Atención al Cliente de la Administradora de Fondos de Pensiones y Cesantías Protección, para el Canal de Internet. Esta metodología se implementa para optimizar el proceso y las actividades que se ejecutan durante las etapas de levantamiento, planeación, diseño, desarrollo y divulgación de estos servicios. Un buen levantamiento de requisitos es decisivo para el éxito de un servicio con calidad, evitando reprocesos o ajustes futuros.",https://repository.eafit.edu.co/handle/10784/14934,1,1,1,7,8,6,1,1,1,1,7,6
Sistema de recomendación de jugadas para League Of Legends,"En este proyecto se analiza una gran cantidad de datos del videojuego League of Legends. Luego los procesa a través de la metodología CRISP-DM, creando un modelo de datos. El modelo se utilizó para comparar los resultados de diferentes técnicas de inteligencia artificial como redes neuronales, Support Vector Machine, regresión logística y LGBM. El modelo final puede recomendar un movimiento óptimo en un momento del juego, lo que da como resultado una precisión de alrededor de 0,81.",Sistema de recomendación de jugadas para League Of Legends (javeriana.edu.co),8,1,7,9,9,5,1,4,4,1,9,8
UAQUE : sistema de recomendación a partir del perfil grupal,"UAQUE es un servicio inteligente enfocado en brindar un medio para difundir material bibliográfico perteneciente a la biblioteca Alfonso Borrero Cabal, S.J. a la comunidad académica de la Pontificia Universidad Javeriana mediante recomendaciones basadas en un proceso de agrupación por perfil grupal haciendo uso de la información disponible de las transacciones de la biblioteca, las cuales derivan en gustos y preferencias entendidas desde el contexto de Muysca y que son procesadas haciendo uso de una arquitectura de referencia: Quysqua Smart-UJ.",UAQUE : sistema de recomendación a partir del perfil grupal (javeriana.edu.co),8,1,7,9,9,7,1,2,2,1,9,7